filename,pattern,seed,n_allocs,n_frees,n_unfreed
clean_0.csv,clean,0,131,131,0
clean_1.csv,clean,1,165,165,0
clean_2.csv,clean,2,137,137,0
clean_3.csv,clean,3,132,132,0
clean_4.csv,clean,4,149,149,0
clean_5.csv,clean,5,131,131,0
clean_6.csv,clean,6,147,147,0
clean_7.csv,clean,7,171,171,0
clean_8.csv,clean,8,158,158,0
clean_9.csv,clean,9,163,163,0
clean_10.csv,clean,10,150,150,0
clean_11.csv,clean,11,148,148,0
clean_12.csv,clean,12,149,149,0
clean_13.csv,clean,13,173,173,0
clean_14.csv,clean,14,163,163,0
clean_15.csv,clean,15,135,135,0
clean_16.csv,clean,16,174,174,0
clean_17.csv,clean,17,134,134,0
clean_18.csv,clean,18,151,151,0
clean_19.csv,clean,19,172,172,0
clean_20.csv,clean,20,157,157,0
clean_21.csv,clean,21,137,137,0
clean_22.csv,clean,22,140,140,0
clean_23.csv,clean,23,151,151,0
clean_24.csv,clean,24,138,138,0
leaky_0.csv,leaky,0,131,82,49
leaky_1.csv,leaky,1,165,108,57
leaky_2.csv,leaky,2,137,87,50
leaky_3.csv,leaky,3,132,92,40
leaky_4.csv,leaky,4,149,101,48
leaky_5.csv,leaky,5,131,90,41
leaky_6.csv,leaky,6,147,96,51
leaky_7.csv,leaky,7,171,115,56
leaky_8.csv,leaky,8,158,107,51
leaky_9.csv,leaky,9,163,103,60
leaky_10.csv,leaky,10,150,113,37
leaky_11.csv,leaky,11,148,95,53
leaky_12.csv,leaky,12,149,98,51
leaky_13.csv,leaky,13,173,107,66
leaky_14.csv,leaky,14,163,96,67
leaky_15.csv,leaky,15,135,88,47
leaky_16.csv,leaky,16,174,107,67
leaky_17.csv,leaky,17,134,95,39
leaky_18.csv,leaky,18,151,102,49
leaky_19.csv,leaky,19,172,107,65
leaky_20.csv,leaky,20,157,98,59
leaky_21.csv,leaky,21,137,86,51
leaky_22.csv,leaky,22,140,92,48
leaky_23.csv,leaky,23,151,105,46
leaky_24.csv,leaky,24,138,102,36
spiky_0.csv,spiky,0,137,137,0
spiky_1.csv,spiky,1,194,194,0
spiky_2.csv,spiky,2,134,134,0
spiky_3.csv,spiky,3,231,231,0
spiky_4.csv,spiky,4,130,130,0
spiky_5.csv,spiky,5,158,158,0
spiky_6.csv,spiky,6,301,301,0
spiky_7.csv,spiky,7,137,137,0
spiky_8.csv,spiky,8,157,157,0
spiky_9.csv,spiky,9,243,243,0
spiky_10.csv,spiky,10,93,93,0
spiky_11.csv,spiky,11,97,97,0
spiky_12.csv,spiky,12,233,233,0
spiky_13.csv,spiky,13,213,213,0
spiky_14.csv,spiky,14,130,130,0
spiky_15.csv,spiky,15,90,90,0
spiky_16.csv,spiky,16,171,171,0
spiky_17.csv,spiky,17,140,140,0
spiky_18.csv,spiky,18,159,159,0
spiky_19.csv,spiky,19,95,95,0
spiky_20.csv,spiky,20,150,150,0
spiky_21.csv,spiky,21,133,133,0
spiky_22.csv,spiky,22,225,225,0
spiky_23.csv,spiky,23,101,101,0
spiky_24.csv,spiky,24,104,104,0
